
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Mon Dec  1 13:24:34 2014 
 > Slag                                      :  UP 
 > Ár                                        :  2014 
 > Skipabólk/-ar                             :  19 20 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01360264
> Beta	 = 2.873175
> R^2	 = 0.9774063
> N	 = 9248
> Veida (kg.)	  = 0
> Rundveida (kg.) = 0
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2 3  4  5  6  7 8 9 10 11 12 13 14 15 Sum Matad
65     65 0 0 0 0  4 35 26 10 0 0  0  0  0  0  0  0  75   528
66     66 0 0 0 0  4 14 25  8 1 0  0  0  0  0  0  0  52   400
67     67 0 0 0 0  1 19 32 10 0 0  0  0  0  0  0  0  62   387
68     68 0 0 0 0  2 16 16  8 0 0  0  0  0  0  0  0  42   335
69     69 0 0 0 0  0 15 26 11 0 0  0  0  0  0  0  0  52   328
70     70 0 0 0 0  0  8 16 10 0 0  0  0  0  0  0  0  34   305
71     71 0 0 0 0  0  3  6  7 1 0  0  0  0  0  0  0  17   229
72     72 0 0 0 0  0  3 11  8 0 0  0  0  0  0  0  0  22   210
73     73 0 0 0 0  0  2  9  5 0 0  0  0  0  0  0  0  16   192
74     74 0 0 0 0  0  1  7  5 0 0  0  0  0  0  0  0  13   136
75     75 0 0 0 0  0  0  6  4 0 0  0  0  0  0  0  0  10   124
76     76 0 0 0 0  0  0  4  2 2 0  0  0  0  0  0  0   8   114
77     77 0 0 0 0  0  0  2  3 0 0  0  0  0  0  0  0   5    84
78     78 0 0 0 0  0  0  1  2 1 0  0  0  0  0  0  0   4    73
79     79 0 0 0 0  0  0  1  2 0 0  0  0  0  0  0  0   3    56
80     80 0 0 0 0  0  0  1  0 0 0  1  0  0  0  0  0   2    73
81     81 0 0 0 0  0  0  1  3 2 0  0  0  0  0  0  0   6    64
82     82 0 0 0 0  0  0  1  3 3 0  0  0  0  0  0  0   7    68
83     83 0 0 0 0  0  0  0  3 2 1  0  0  0  0  0  0   6    68
84     84 0 0 0 0  0  0  0  1 0 0  0  0  0  0  0  0   1    55
85     85 0 0 0 0  0  0  0  1 5 1  0  0  0  0  0  0   7    62
86     86 0 0 0 0  0  0  0  1 0 1  0  0  0  0  0  0   2    45
87     87 0 0 0 0  0  0  1  0 0 3  0  0  0  0  0  0   4    74
88     88 0 0 0 0  0  0  0  0 0 4  0  1  0  0  0  0   5    51
89     89 0 0 0 0  0  0  0  0 1 2  3  0  0  0  0  0   6    57
90     90 0 0 0 0  0  0  0  0 1 2  0  1  0  0  0  0   4    72
91     91 0 0 0 0  0  0  0  0 0 2  1  2  1  0  0  0   6    62
92     92 0 0 0 0  0  0  0  0 0 1  1  1  1  1  0  0   5    72
93     93 0 0 0 0  0  0  0  0 0 0  1  3  0  0  0  0   4    51
94     94 0 0 0 0  0  0  0  0 0 0  0  0  1  0  0  0   1    48
95     95 0 0 0 0  0  0  0  0 0 0  1  1  3  0  0  0   5    60
96     96 0 0 0 0  0  0  0  0 0 0  2  1  1  0  0  0   4    36
97     97 0 0 0 0  0  0  0  0 0 0  0  0  2  1  0  0   3    36
98     98 0 0 0 0  0  0  0  0 0 0  1  0  0  0  0  0   1    12
99     99 0 0 0 0  0  0  0  0 0 0  1  0  0  0  0  0   1    17
100   100 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0    18
101   101 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     4
102   102 0 0 0 0  0  0  0  0 0 0  0  0  0  1  0  0   1     6
103   103 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     8
104   104 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     3
105   105 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     7
106   106 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     3
107   107 0 0 0 0  0  0  0  0 0 0  0  0  1  0  0  0   1     3
108   108 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
109   109 0 0 0 0  0  0  0  0 0 0  0  1  1  0  0  0   2     3
110   110 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     1
111   111 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
112   112 0 0 0 0  0  0  0  0 0 0  0  0  0  0  1  0   1     1
113   113 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
114   114 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
115   115 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
116   116 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     1
117   117 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
118   118 0 0 0 0  0  0  0  0 0 0  0  0  0  0  0  0   0     0
