
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Tue Dec  9 11:28:22 2014 
 > Slag                                      :  HY 
 > Ár                                        :  2014 
 > Skipabólk/-ar                             :  20 21 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01090363
> Beta	 = 2.938192
> R^2	 = 0.9336985
> N	 = 1624
> Veida (kg.)	  = 99999
> Rundveida (kg.) = 110998.9
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2 3 4  5 6 7 8 9 10 11 12 13 14 15 Sum Matad
124   124 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
125   125 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
126   126 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
127   127 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
128   128 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
129   129 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
130   130 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
131   131 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
132   132 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
133   133 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
134   134 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
135   135 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
136   136 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
137   137 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
138   138 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
139   139 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
140   140 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
141   141 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
142   142 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
143   143 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
144   144 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
145   145 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
146   146 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
147   147 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
148   148 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
149   149 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
150   150 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0

$ALK.j
    longd 0 1 2     3     4     5     6     7     8     9    10    11    12 13 14 15    Sum Matad
1       1 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
2       2 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
3       3 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
4       4 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
5       5 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
6       6 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
7       7 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
8       8 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
9       9 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
10     10 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
11     11 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
12     12 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
13     13 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
14     14 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
15     15 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
16     16 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
17     17 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
18     18 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
19     19 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
20     20 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
21     21 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
22     22 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
23     23 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
24     24 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0.000     0
25     25 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000  0  0  0  0.001     0
26     26 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000  0  0  0  0.001     0
27     27 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000  0  0  0  0.001     0
28     28 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.000 0.000 0.000  0  0  0  0.002     0
29     29 0 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.000 0.000 0.000  0  0  0  0.003     0
30     30 0 0 0 0.001 0.000 0.000 0.000 0.000 0.000 0.003 0.000 0.000 0.000  0  0  0  0.004     0
31     31 0 0 0 0.002 0.000 0.000 0.000 0.000 0.000 0.005 0.000 0.000 0.000  0  0  0  0.007     0
32     32 0 0 0 0.005 0.001 0.000 0.000 0.000 0.000 0.006 0.000 0.000 0.000  0  0  0  0.012     0
33     33 0 0 0 0.012 0.002 0.000 0.000 0.000 0.000 0.008 0.000 0.000 0.000  0  0  0  0.022     1
34     34 0 0 0 0.028 0.004 0.001 0.000 0.000 0.000 0.010 0.000 0.000 0.000  0  0  0  0.043     0
35     35 0 0 0 0.058 0.010 0.002 0.000 0.000 0.000 0.013 0.000 0.000 0.000  0  0  0  0.084     2
36     36 0 0 0 0.114 0.023 0.005 0.000 0.000 0.000 0.017 0.000 0.000 0.000  0  0  0  0.159     2
37     37 0 0 0 0.208 0.048 0.012 0.000 0.000 0.000 0.021 0.000 0.000 0.000  0  0  0  0.290     3
38     38 0 0 0 0.351 0.094 0.027 0.000 0.000 0.000 0.027 0.001 0.000 0.000  0  0  0  0.501     4
39     39 0 0 0 0.551 0.175 0.059 0.000 0.001 0.000 0.033 0.001 0.000 0.000  0  0  0  0.821     8
40     40 0 0 0 0.803 0.305 0.122 0.000 0.002 0.000 0.040 0.002 0.000 0.000  0  0  0  1.274    11
41     41 0 0 0 1.086 0.499 0.237 0.000 0.004 0.000 0.049 0.003 0.000 0.000  0  0  0  1.877    15
42     42 0 0 1 1.363 0.766 0.436 0.000 0.009 0.000 0.058 0.004 0.000 0.000  0  0  0  3.636    24
43     43 0 0 0 1.589 1.105 0.757 0.001 0.016 0.000 0.068 0.007 0.000 0.000  0  0  0  3.542    20
44     44 0 0 0 1.719 1.497 1.243 0.002 0.028 0.000 0.080 0.010 0.000 0.000  0  0  0  4.579    61
45     45 0 0 0 1.727 1.904 1.928 0.006 0.048 0.000 0.092 0.015 0.000 0.000  0  0  0  5.721    68
46     46 0 0 0 1.611 2.275 2.828 0.018 0.078 0.000 0.105 0.022 0.001 0.000  0  0  0  6.937    89
47     47 0 0 0 1.395 2.553 3.920 0.046 0.121 0.000 0.118 0.031 0.002 0.000  0  0  0  8.185    76
48     48 0 0 0 1.122 2.690 5.136 0.104 0.180 0.000 0.131 0.042 0.004 0.000  0  0  0  9.409    94
49     49 0 0 0 0.837 2.662 6.360 0.215 0.255 0.000 0.145 0.056 0.010 0.000  0  0  0 10.540   103
50     50 0 0 0 0.580 2.474 7.442 0.399 0.347 0.000 0.158 0.072 0.022 0.000  0  0  0 11.494   102
51     51 0 0 0 0.373 2.159 8.232 0.666 0.450 0.001 0.170 0.092 0.044 0.000  0  0  0 12.187    97
52     52 0 0 0 0.223 1.770 8.605 1.001 0.558 0.007 0.181 0.113 0.083 0.000  0  0  0 12.542    83
53     53 0 0 0 0.124 1.362 8.502 1.353 0.662 0.044 0.191 0.137 0.144 0.000  0  0  0 12.519   118
54     54 0 0 0 0.064 0.985 7.938 1.646 0.751 0.171 0.199 0.161 0.229 0.000  0  0  0 12.144    92
55     55 0 0 0 0.030 0.669 7.006 1.802 0.815 0.432 0.206 0.185 0.336 0.000  0  0  0 11.480    97
56     56 0 0 0 0.014 0.426 5.843 1.775 0.844 0.712 0.210 0.207 0.454 0.001  0  0  0 10.487    74
57     57 0 0 0 0.006 0.255 4.606 1.573 0.837 0.765 0.211 0.225 0.566 0.005  0  0  0  9.050    78
58     58 0 0 0 0.002 0.144 3.432 1.255 0.793 0.535 0.210 0.240 0.649 0.014  0  0  0  7.274    65
59     59 0 0 0 0.001 0.076 2.417 0.901 0.718 0.244 0.207 0.249 0.685 0.035  0  0  0  5.533    47
60     60 0 0 0 0.000 0.038 1.608 0.582 0.622 0.072 0.202 0.252 0.667 0.076  0  0  0  4.120    39
61     61 0 0 0 0.000 0.018 1.012 0.338 0.515 0.014 0.195 0.249 0.598 0.144  0  0  0  3.082    36
62     62 0 0 0 0.000 0.008 0.601 0.177 0.407 0.002 0.186 0.240 0.493 0.238  0  0  0  2.352    25
63     63 0 0 0 0.000 0.003 0.338 0.083 0.308 0.000 0.175 0.225 0.375 0.340  0  0  0  1.848    17
64     64 0 0 0 0.000 0.001 0.179 0.035 0.223 0.000 0.163 0.207 0.263 0.421  0  0  0  1.492    19
65     65 0 0 0 0.000 0.000 0.090 0.013 0.154 0.000 0.150 0.185 0.169 0.452  0  0  0  1.215    13
66     66 0 0 0 0.000 0.000 0.043 0.005 0.102 0.000 0.137 0.161 0.101 0.421  0  0  0  0.969     9
67     67 0 0 0 0.000 0.000 0.019 0.001 0.064 0.000 0.123 0.137 0.055 0.340  0  0  0  0.740     7
