
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Fri Nov 28 14:37:03 2014 
 > Slag                                      :  UP 
 > Ár                                        :  2013 
 > Skipabólk/-ar                             :  18 19 20 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01474686
> Beta	 = 2.856893
> R^2	 = 0.9661737
> N	 = 14400
> Veida (kg.)	  = 13181943
> Rundveida (kg.) = 14631957
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2  3  4  5  6 7 8 9 10 11 12 13 14 15 Sum Matad
65     65 0 0 0  0  0 18 21 2 0 0  0  0  0  0  0  0  41   285
66     66 0 0 0  0  3 15 13 4 0 0  0  0  0  0  0  0  35   226
67     67 0 0 0  0  0 16 15 2 1 0  0  0  0  0  0  0  34   173
68     68 0 0 0  0  0 14  6 2 0 0  0  0  0  0  0  0  22   157
69     69 0 0 0  0  0  6  5 6 0 0  0  0  0  0  0  0  17   119
70     70 0 0 0  0  0  2  3 4 1 0  0  0  0  0  0  0  10    97
71     71 0 0 0  0  0  4  4 4 2 0  0  0  0  0  0  0  14   114
72     72 0 0 0  0  0  4  7 5 2 0  0  0  0  0  0  0  18    83
73     73 0 0 0  0  0  1  5 3 2 0  0  0  0  0  0  0  11    91
74     74 0 0 0  0  0  1  8 4 0 0  0  0  0  0  0  0  13    79
75     75 0 0 0  0  0  2  5 3 2 1  0  0  0  0  0  0  13    81
76     76 0 0 0  0  0  1  2 3 2 0  0  0  0  0  0  0   8    61
77     77 0 0 0  0  0  0  4 5 2 0  0  0  0  0  0  0  11    56
78     78 0 0 0  0  0  0  0 4 3 0  0  0  0  0  0  0   7    49
79     79 0 0 0  0  0  0  4 1 7 1  0  1  1  0  0  0  15    67
80     80 0 0 0  0  0  0  4 3 5 1  0  0  0  0  0  0  13    63
81     81 0 0 0  0  0  0  1 5 5 4  1  0  0  0  0  0  16    65
82     82 0 0 0  0  0  0  1 2 5 2  0  0  0  0  0  0  10    67
83     83 0 0 0  0  0  0  0 0 4 2  1  1  0  0  0  0   8    55
84     84 0 0 0  0  0  0  0 4 1 4  1  1  1  0  1  0  13    62
85     85 0 0 0  0  0  0  0 0 3 2  2  1  1  0  0  0   9    64
86     86 0 0 0  0  0  0  0 0 3 5  3  0  1  0  0  0  12    61
87     87 0 0 0  0  0  0  0 1 0 3  4  4  1  1  1  0  15    59
88     88 0 0 0  0  0  0  0 1 0 1  2  1  0  0  0  0   5    56
89     89 0 0 0  0  0  0  0 0 0 1  5  2  0  2  1  0  11    49
90     90 0 0 0  0  0  0  0 0 0 0  1  3  0  1  0  0   5    44
91     91 0 0 0  0  0  0  0 0 0 1  1  3  4  0  0  0   9    47
92     92 0 0 0  0  0  0  0 0 0 0  0  1  1  0  0  0   2    28
93     93 0 0 0  0  0  0  0 0 0 0  1  1  2  1  0  0   5    27
94     94 0 0 0  0  0  0  0 0 0 0  0  2  2  1  1  1   7    18
95     95 0 0 0  0  0  0  0 0 0 0  1  1  1  1  0  0   4    21
96     96 0 0 0  0  0  0  0 0 0 1  1  2  0  0  1  0   5    21
97     97 0 0 0  0  0  0  0 0 0 0  0  1  0  0  0  0   1    14
98     98 0 0 0  0  0  0  0 0 0 0  0  1  0  0  2  0   3    11
99     99 0 0 0  0  0  0  0 0 0 0  0  0  1  0  1  0   2    13
100   100 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0    10
101   101 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     6
102   102 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     4
103   103 0 0 0  0  0  0  0 0 0 0  0  0  1  1  0  0   2     6
104   104 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     3
105   105 0 0 0  0  0  0  0 0 0 0  0  0  0  0  0  0   0     1
