
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Wed Feb 12 11:27:23 2014 
 > Slag                                      :  UP 
 > Ár                                        :  2012 
 > Skipabólk/-ar                             :  19 20 21 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 VB2 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01522344
> Beta	 = 2.844654
> R^2	 = 0.9817154
> N	 = 17593
> Veida (kg.)	  = 20937881
> Rundveida (kg.) = 23241048
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2  3   4  5  6  7 8 9 10 11 12 13 14 15 Sum Matad
65     65 0 0 0  0   3 14 15  2 0 0  0  0  0  0  0  0  34   276
66     66 0 0 0  0   6 13 10  1 0 0  0  0  0  0  0  0  30   254
67     67 0 0 0  0   2 15 11  3 0 0  0  0  0  0  0  0  31   260
68     68 0 0 0  0   3 19  8  3 0 0  0  0  0  0  0  0  33   275
69     69 0 0 0  0   1 10 17  3 0 0  0  0  0  0  0  0  31   246
70     70 0 0 0  0   0 14  8  5 0 0  0  0  0  0  0  0  27   247
71     71 0 0 0  0   1  8  9  6 0 0  0  0  0  0  0  0  24   258
72     72 0 0 0  0   0  5  5  6 1 0  0  0  0  0  0  0  17   210
73     73 0 0 0  0   0  5 14 11 3 0  0  0  0  0  0  0  33   245
74     74 0 0 0  0   0  5  4  8 1 1  0  0  0  0  0  0  19   221
75     75 0 0 0  0   0  1  6  7 1 1  2  0  0  0  0  0  18   217
76     76 0 0 0  0   0  1 11  9 1 0  0  0  0  0  0  0  22   223
77     77 0 0 0  0   0  1  5 10 1 3  0  2  0  0  0  0  22   210
78     78 0 0 0  0   0  1  3 11 8 4  3  0  0  0  0  0  30   215
79     79 0 0 0  0   0  0  4  9 7 4  5  1  0  0  0  0  30   207
80     80 0 0 0  0   0  0  1 11 3 4  2  1  0  0  0  0  22   237
81     81 0 0 0  0   0  0  2  6 5 3  3  2  1  0  0  0  22   230
82     82 0 0 0  0   0  0  2  6 7 6  6  3  0  0  0  0  30   237
83     83 0 0 0  0   0  0  0  4 1 4  8  0  1  0  0  0  18   227
84     84 0 0 0  0   0  0  0  4 1 3  6  4  1  2  1  0  22   216
85     85 0 0 0  0   0  0  1  3 1 2  3  3  2  1  0  0  16   199
86     86 0 0 0  0   0  0  0  1 1 6  3  1  2  0  0  0  14   145
87     87 0 0 0  0   0  0  0  0 5 4  6  3  1  0  0  0  19   156
88     88 0 0 0  0   0  0  0  1 0 2  4  3  1  0  0  0  11   159
89     89 0 0 0  0   0  0  0  0 0 0  3  1  3  1  0  0   8   108
90     90 0 0 0  0   0  0  0  0 0 1  3  2  2  0  0  0   8   113
91     91 0 0 0  0   0  0  0  0 1 1  2  3  2  2  0  0  11    91
92     92 0 0 0  0   0  0  0  0 0 0  1  2  0  1  0  0   4    61
93     93 0 0 0  0   0  0  0  0 0 1  1  1  1  0  0  0   4    53
94     94 0 0 0  0   0  0  0  0 0 0  1  5  1  1  2  0  10    47
95     95 0 0 0  0   0  0  0  0 0 0  1  0  1  0  0  0   2    32
96     96 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0    21
97     97 0 0 0  0   0  0  0  0 0 0  0  0  1  1  0  0   2    21
98     98 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0    11
99     99 0 0 0  0   0  0  0  0 0 0  1  0  0  1  0  0   2    18
100   100 0 0 0  0   0  0  0  0 0 0  0  0  0  1  0  0   1    16
101   101 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     5
102   102 0 0 0  0   0  0  0  0 0 0  0  0  1  0  0  0   1    10
103   103 0 0 0  0   0  0  0  0 0 0  0  0  0  1  0  0   1     4
104   104 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0    11
105   105 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     3
106   106 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     5
107   107 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     5
108   108 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     1
109   109 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
110   110 0 0 0  0   0  0  0  0 0 0  0  0  0  1  0  0   1     3
111   111 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     2
112   112 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
113   113 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     1
114   114 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
115   115 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
116   116 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
117   117 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
118   118 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
119   119 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
120   120 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
121   121 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
122   122 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
123   123 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
124   124 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
125   125 0 0 0  0   0  0  0  0 0 0  0  0  0  0  0  0   0     0
