
 .... [TRUNCATED] 
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<< 
 > Dato                                      :  Wed Dec  3 14:51:17 2014 
 > Slag                                      :  HY 
 > Ár                                        :  2014 
 > Skipabólk/-ar                             :  19 
 > Byrjanar og enda mánaŵ fyri ALK/ALD       :  JAN-DEC 
 > Skipabólk/-ar, sum longdir eru lántar frá :  0 
 > Skipabólk/-ar, sum vektir eru lántar frá  :  0 
 > Skipabólk/-ar, sum aldrar eru lántar frá  :  0 
 > ICES-øki                                  :  VB1 
 <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> 
> Alpha	 = 0.01323203
> Beta	 = 2.890818
> R^2	 = 0.9409243
> N	 = 3194
> Veida (kg.)	  = 44444
> Rundveida (kg.) = 49332.84
<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
 .... [TRUNCATED] 
>>>>>>>>>>>>>> 	 ALK-lykil 	 <<<<<<<<<<<<
 .... [TRUNCATED] 
$ALK
    longd 0 1 2 3 4  5 6 7 8 9 10 11 12 13 14 15 Sum Matad
144   144 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
145   145 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
146   146 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
147   147 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
148   148 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
149   149 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0
150   150 0 0 0 0 0  0 0 0 0 0  0  0  0  0  0  0   0     0

$ALK.j
    longd 0 1     2     3     4     5     6     7     8     9    10    11 12 13 14 15    Sum Matad
1       1 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
2       2 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
3       3 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
4       4 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
5       5 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
6       6 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
7       7 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
8       8 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
9       9 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
10     10 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
11     11 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
12     12 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
13     13 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
14     14 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
15     15 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
16     16 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
17     17 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
18     18 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
19     19 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
20     20 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
21     21 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
22     22 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
23     23 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
24     24 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
25     25 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
26     26 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
27     27 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
28     28 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
29     29 0 0 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.000     0
30     30 0 0 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.001     0
31     31 0 0 0.001 0.000 0.002 0.000 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.003     3
32     32 0 0 0.003 0.000 0.004 0.001 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.008     4
33     33 0 0 0.013 0.000 0.008 0.002 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.024     6
34     34 0 0 0.040 0.002 0.018 0.004 0.000 0.000 0.000 0.000 0.000 0.000  0  0  0  0  0.064     6
